user_id,timestamp,source,text,rating
user_0050,2025-06-15 00:00:00,email_feedback,"Email offers are great, I found a nice deal.",5
user_0456,2025-08-11 11:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",
user_0231,2025-10-21 09:00:00,app_review,Customer service was rude and unhelpful.,
user_0254,2025-05-14 23:00:00,email_feedback,The loyalty program is confusing.,5
user_0155,2025-10-15 11:00:00,email_feedback,"My issue was solved quickly, thank you.",
user_0387,2025-10-12 06:00:00,twitter,Customer service was rude and unhelpful.,
user_0014,2025-07-31 19:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
user_0187,2025-06-08 18:00:00,email_feedback,"Email offers are great, I found a nice deal.",1
user_0130,2025-06-29 08:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0298,2025-07-07 02:00:00,email_feedback,"My issue was solved quickly, thank you.",
user_0333,2025-09-03 10:00:00,chatbot,"Email offers are great, I found a nice deal.",
user_0025,2025-09-22 08:00:00,app_review,"Still waiting for my refund, very frustrating.",1
user_0350,2025-07-31 18:00:00,chatbot,I love how fast the checkout process is!,1
user_0256,2025-10-08 14:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0140,2025-07-27 15:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",2
user_0387,2025-06-02 09:00:00,email_feedback,I love how fast the checkout process is!,2
user_0286,2025-06-21 04:00:00,twitter,I love how fast the checkout process is!,
user_0174,2025-06-22 16:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",1
user_0038,2025-08-24 18:00:00,app_review,"My issue was solved quickly, thank you.",3
user_0305,2025-07-18 11:00:00,twitter,"Still waiting for my refund, very frustrating.",1
user_0440,2025-05-02 11:00:00,chatbot,"Email offers are great, I found a nice deal.",1
user_0267,2025-07-28 12:00:00,twitter,Socail media posts were engaging!,5
user_0228,6/10/2025 16:0,twitter,Customer service was rude and unhelpful.,2
user_0237,2025-09-15 15:00:00,app_review,"Email offers are great, I found a nice deal.",4
user_0446,22/5/2025 4:0,chatbot,Socail media posts were engaging!,
user_0107,2025-05-25 04:00:00,email_feedback,Customer service was rude and unhelpful.,5
user_0304,2025-09-18 00:00:00,twitter,The loyalty program is confusing.,3
user_0189,2025-09-18 15:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",2
user_0281,2025-10-23 11:00:00,chatbot,The loyalty program is confusing.,3
user_0016,2025-07-22 03:00:00,twitter,I love how fast the checkout process is!,1
user_0438,2025-08-09 14:00:00,app_review,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0243,2025-05-27 21:00:00,app_review,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0218,2025-05-02 07:00:00,twitter,I love how fast the checkout process is!,3
user_0435,2025-07-09 01:00:00,email_feedback,"My issue was solved quickly, thank you.",5
user_0286,2025-10-09 06:00:00,email_feedback,The loyalty program is confusing.,
user_0158,2025-08-19 06:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0481,2025-09-30 08:00:00,chatbot,Socail media posts were engaging!,2
user_0074,2025-10-28 21:00:00,chatbot,I love how fast the checkout process is!,4
user_0057,2025-10-12 14:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0380,2025-10-08 05:00:00,twitter,"My issue was solved quickly, thank you.",
user_0011,2025-06-26 21:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",
user_0471,2025-08-31 23:00:00,email_feedback,I love how fast the checkout process is!,5
user_0142,2025-09-11 05:00:00,email_feedback,"My issue was solved quickly, thank you.",1
user_0034,2025-06-21 00:00:00,chatbot,"Still waiting for my refund, very frustrating.",2
user_0137,2025-10-23 14:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",4
user_0116,2025-06-05 15:00:00,email_feedback,"Email offers are great, I found a nice deal.",5
user_0327,2025-05-17 14:00:00,app_review,The app keeps crashing when I try to pay. ğŸ˜¡,1
user_0162,2025-07-31 06:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",1
user_0078,2025-10-13 20:00:00,app_review,"Ad was misleading, the discount didnâ€™t apply.",4
user_0344,2025-10-10 06:00:00,app_review,The loyalty program is confusing.,4
user_0010,2025-08-31 02:00:00,chatbot,Socail media posts were engaging!,
user_0278,2025-09-13 15:00:00,app_review,"My issue was solved quickly, thank you.",2
user_0431,2025-06-10 02:00:00,twitter,"My issue was solved quickly, thank you.",4
user_0178,2025-06-23 13:00:00,chatbot,Socail media posts were engaging!,
user_0492,2025-09-08 08:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",2
user_0453,2025-06-14 03:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
user_0067,2025-10-18 20:00:00,app_review,"Email offers are great, I found a nice deal.",
user_0055,2025-08-29 17:00:00,twitter,"Email offers are great, I found a nice deal.",5
user_0064,2025-08-31 06:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",
user_0049,2025-10-02 13:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0243,2025-09-15 02:00:00,email_feedback,"Still waiting for my refund, very frustrating.",3
user_0233,2025-10-03 12:00:00,twitter,The loyalty program is confusing.,5
user_0442,2025-05-16 07:00:00,chatbot,Customer service was rude and unhelpful.,4
user_0396,2025-09-19 02:00:00,email_feedback,Customer service was rude and unhelpful.,4
user_0397,2025-05-24 02:00:00,email_feedback,I love how fast the checkout process is!,1
user_0096,2025-09-25 08:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",1
user_0062,2025-08-24 06:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",2
user_0332,2025-09-02 14:00:00,twitter,"Still waiting for my refund, very frustrating.",1
user_0108,2025-07-30 20:00:00,chatbot,"Still waiting for my refund, very frustrating.",3
user_0216,2025-07-13 06:00:00,app_review,"My issue was solved quickly, thank you.",
user_0371,22/7/2025 22:0,app_review,"Still waiting for my refund, very frustrating.",3
user_0140,2025-08-28 10:00:00,chatbot,I love how fast the checkout process is!,4
user_0282,5/9/2025 15:0,email_feedback,"Email offers are great, I found a nice deal.",4
user_0393,1/9/2025 21:0,chatbot,The loyalty program is confusing.,
user_0415,2025-06-17 00:00:00,app_review,The loyalty program is confusing.,5
user_0077,2025-06-23 03:00:00,email_feedback,"Still waiting for my refund, very frustrating.",1
user_0156,6/9/2025 18:0,email_feedback,"Email offers are great, I found a nice deal.",4
user_0455,2025-10-09 23:00:00,app_review,Customer service was rude and unhelpful.,3
user_0108,2025-05-12 22:00:00,app_review,Socail media posts were engaging!,2
user_0136,2025-10-22 19:00:00,app_review,The loyalty program is confusing.,
user_0190,2025-05-24 12:00:00,twitter,Customer service was rude and unhelpful.,
user_0043,2025-07-13 04:00:00,app_review,The loyalty program is confusing.,4
user_0306,2025-06-29 17:00:00,app_review,"Ad was misleading, the discount didnâ€™t apply.",
user_0350,2025-09-10 17:00:00,email_feedback,"Email offers are great, I found a nice deal.",1
user_0322,2025-08-25 21:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,1
user_0261,2025-08-21 14:00:00,twitter,The loyalty program is confusing.,5
user_0299,2025-10-23 09:00:00,twitter,The loyalty program is confusing.,
user_0443,2025-05-16 20:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",5
user_0423,26/9/2025 17:0,chatbot,Socail media posts were engaging!,
user_0490,2025-07-12 09:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,3
user_0057,2025-10-20 14:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",3
user_0006,2025-07-16 21:00:00,email_feedback,I love how fast the checkout process is!,
user_0256,2025-08-18 09:00:00,twitter,I love how fast the checkout process is!,
user_0176,2025-09-26 15:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0302,2025-06-16 21:00:00,app_review,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",5
user_0074,2025-08-07 17:00:00,chatbot,The loyalty program is confusing.,3
user_0426,2025-08-20 22:00:00,twitter,Customer service was rude and unhelpful.,2
user_0196,2025-08-18 23:00:00,app_review,"Email offers are great, I found a nice deal.",1
user_0199,2025-06-24 00:00:00,twitter,I love how fast the checkout process is!,
user_0185,2025-09-18 14:00:00,email_feedback,"Still waiting for my refund, very frustrating.",1
user_0232,2025-06-05 04:00:00,app_review,"Email offers are great, I found a nice deal.",2
user_0263,2025-10-27 15:00:00,app_review,I love how fast the checkout process is!,
user_0102,2025-05-14 21:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,3
user_0413,2025-07-04 21:00:00,twitter,Socail media posts were engaging!,
user_0350,2025-05-19 03:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",3
user_0197,8/7/2025 15:0,twitter,The loyalty program is confusing.,5
user_0242,2025-07-30 08:00:00,app_review,"Still waiting for my refund, very frustrating.",2
user_0007,2025-09-04 19:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0418,2025-06-03 10:00:00,twitter,The loyalty program is confusing.,1
user_0089,2025-06-23 17:00:00,chatbot,"My issue was solved quickly, thank you.",1
user_0379,2025-05-04 14:00:00,email_feedback,"Email offers are great, I found a nice deal.",5
user_0309,2025-08-11 10:00:00,chatbot,"Still waiting for my refund, very frustrating.",1
user_0433,2025-06-05 04:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0351,2025-08-07 04:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",1
user_0068,2025-10-15 02:00:00,email_feedback,"Email offers are great, I found a nice deal.",3
user_0169,2025-05-24 16:00:00,email_feedback,Socail media posts were engaging!,5
user_0093,10/6/2025 4:0,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0009,2025-09-15 09:00:00,twitter,"Still waiting for my refund, very frustrating.",3
user_0142,2025-07-04 00:00:00,email_feedback,"Still waiting for my refund, very frustrating.",5
user_0352,2025-07-24 07:00:00,email_feedback,Socail media posts were engaging!,4
user_0449,2025-09-16 20:00:00,email_feedback,Customer service was rude and unhelpful.,2
user_0339,2025-07-14 13:00:00,chatbot,"Still waiting for my refund, very frustrating.",3
user_0232,2025-09-06 00:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,3
user_0482,2025-10-22 08:00:00,app_review,"Email offers are great, I found a nice deal.",
user_0426,2025-10-27 06:00:00,email_feedback,"My issue was solved quickly, thank you.",5
user_0258,2025-10-21 11:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,1
user_0076,2025-09-12 15:00:00,email_feedback,"Email offers are great, I found a nice deal.",2
user_0374,2025-06-02 04:00:00,twitter,"Email offers are great, I found a nice deal.",5
user_0165,2025-10-23 22:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
user_0240,2025-10-18 22:00:00,twitter,"Ad was misleading, the discount didnâ€™t apply.",
user_0301,16/10/2025 18:0,app_review,Customer service was rude and unhelpful.,3
user_0294,2025-07-21 00:00:00,email_feedback,Customer service was rude and unhelpful.,2
user_0231,2025-05-04 05:00:00,chatbot,"Still waiting for my refund, very frustrating.",2
user_0227,2025-07-19 19:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0148,2025-08-31 01:00:00,app_review,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",2
user_0410,2025-08-03 13:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0234,2025-07-15 09:00:00,twitter,"My issue was solved quickly, thank you.",
user_0013,2025-07-08 01:00:00,twitter,"My issue was solved quickly, thank you.",5
user_0491,2025-10-18 05:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,3
user_0017,2025-07-10 16:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0306,2025-07-12 23:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
user_0475,2025-09-10 17:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0339,2025-06-12 11:00:00,twitter,Socail media posts were engaging!,3
user_0261,2025-06-01 08:00:00,app_review,The app keeps crashing when I try to pay. ğŸ˜¡,4
user_0456,2025-08-04 15:00:00,chatbot,Customer service was rude and unhelpful.,3
user_0085,2025-07-12 05:00:00,chatbot,"Email offers are great, I found a nice deal.",
user_0407,2025-06-09 19:00:00,twitter,"Email offers are great, I found a nice deal.",4
user_0064,2025-08-07 00:00:00,app_review,"Ad was misleading, the discount didnâ€™t apply.",2
user_0154,2025-08-25 03:00:00,app_review,I love how fast the checkout process is!,5
user_0235,2025-05-18 19:00:00,chatbot,"Email offers are great, I found a nice deal.",5
user_0418,2025-10-15 11:00:00,twitter,I love how fast the checkout process is!,2
user_0266,2025-08-11 06:00:00,app_review,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0412,2025-09-19 16:00:00,email_feedback,Socail media posts were engaging!,5
user_0125,2025-10-15 08:00:00,twitter,I love how fast the checkout process is!,1
user_0465,2025-10-06 19:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0259,2025-06-01 09:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",1
user_0139,2025-05-02 09:00:00,app_review,"Ad was misleading, the discount didnâ€™t apply.",4
user_0374,2025-09-07 15:00:00,email_feedback,"My issue was solved quickly, thank you.",3
user_0085,2025-09-28 01:00:00,chatbot,Customer service was rude and unhelpful.,
user_0011,2025-05-13 02:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0061,2025-07-17 16:00:00,twitter,"Still waiting for my refund, very frustrating.",5
user_0242,2025-09-13 23:00:00,chatbot,The loyalty program is confusing.,1
user_0445,2025-10-12 20:00:00,twitter,"Email offers are great, I found a nice deal.",3
user_0404,2025-07-19 18:00:00,chatbot,"Email offers are great, I found a nice deal.",3
user_0162,2025-10-08 17:00:00,chatbot,I love how fast the checkout process is!,
user_0495,2025-08-13 04:00:00,email_feedback,"Email offers are great, I found a nice deal.",1
user_0215,2025-06-10 17:00:00,chatbot,The loyalty program is confusing.,5
user_0422,2025-09-17 21:00:00,chatbot,"Email offers are great, I found a nice deal.",4
user_0000,2025-10-26 18:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",1
user_0165,2025-10-19 13:00:00,chatbot,I love how fast the checkout process is!,2
user_0183,2025-07-18 10:00:00,twitter,Socail media posts were engaging!,
user_0091,2025-10-01 21:00:00,email_feedback,Customer service was rude and unhelpful.,
user_0338,2025-07-18 07:00:00,chatbot,"My issue was solved quickly, thank you.",4
user_0321,2025-10-03 08:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0159,2025-09-28 01:00:00,app_review,"My issue was solved quickly, thank you.",3
user_0440,2025-08-09 02:00:00,app_review,Socail media posts were engaging!,
user_0223,27/10/2025 7:0,app_review,"Still waiting for my refund, very frustrating.",
user_0191,2025-07-06 09:00:00,app_review,Socail media posts were engaging!,1
user_0069,16/5/2025 19:0,twitter,"My issue was solved quickly, thank you.",
user_0109,2025-08-11 01:00:00,email_feedback,Socail media posts were engaging!,2
user_0278,2025-08-13 15:00:00,chatbot,Customer service was rude and unhelpful.,
user_0018,2025-08-05 02:00:00,chatbot,The loyalty program is confusing.,
user_0113,2025-07-31 09:00:00,twitter,"My issue was solved quickly, thank you.",2
user_0060,2025-10-25 21:00:00,email_feedback,"Still waiting for my refund, very frustrating.",1
user_0411,2025-07-04 10:00:00,twitter,The loyalty program is confusing.,4
user_0396,2025-08-24 15:00:00,email_feedback,The loyalty program is confusing.,
user_0202,2025-09-07 22:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0433,2025-10-27 05:00:00,email_feedback,Customer service was rude and unhelpful.,5
user_0434,2025-06-27 20:00:00,app_review,Socail media posts were engaging!,5
user_0144,2025-05-25 01:00:00,chatbot,"My issue was solved quickly, thank you.",1
user_0436,2025-10-11 15:00:00,email_feedback,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0258,2025-06-06 04:00:00,chatbot,Customer service was rude and unhelpful.,3
user_0213,2025-07-10 06:00:00,chatbot,"Still waiting for my refund, very frustrating.",
user_0298,2025-09-16 17:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",
user_0105,2025-07-11 23:00:00,app_review,"Email offers are great, I found a nice deal.",
user_0098,2025-07-31 10:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,5
user_0249,2025-10-27 11:00:00,app_review,The loyalty program is confusing.,5
user_0317,2025-08-13 12:00:00,email_feedback,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0067,2025-06-28 04:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,2
user_0200,2025-05-11 10:00:00,app_review,The loyalty program is confusing.,4
user_0007,2025-08-16 12:00:00,twitter,"Email offers are great, I found a nice deal.",4
user_0279,2025-08-25 10:00:00,twitter,The app keeps crashing when I try to pay. ğŸ˜¡,5
,2025-08-09 15:00:00,email_feedback,"My issue was solved quickly, thank you.",3
user_0473,2025-07-07 08:00:00,twitter,I love how fast the checkout process is!,5
user_0348,2025-07-14 09:00:00,app_review,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
,2025-06-20 00:00:00,twitter,"Email offers are great, I found a nice deal.",4
user_0010,2025-10-16 20:00:00,chatbot,The loyalty program is confusing.,
user_0066,2025-10-22 23:00:00,app_review,The loyalty program is confusing.,5
user_0183,2025-06-20 22:00:00,email_feedback,I love how fast the checkout process is!,
user_0160,2025-05-01 02:00:00,twitter,The loyalty program is confusing.,
user_0046,2025-06-29 19:00:00,chatbot,"My issue was solved quickly, thank you.",5
user_0122,2025-05-10 13:00:00,chatbot,Customer service was rude and unhelpful.,3
user_0312,2025-05-01 17:00:00,twitter,I love how fast the checkout process is!,1
user_0220,2025-05-06 02:00:00,app_review,I love how fast the checkout process is!,3
user_0152,2025-09-28 18:00:00,twitter,Customer service was rude and unhelpful.,1
user_0116,2025-07-04 23:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",
user_0261,2025-09-09 17:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",3
user_0155,2025-07-30 10:00:00,twitter,"Ad was misleading, the discount didnâ€™t apply.",3
user_0236,2025-06-07 13:00:00,twitter,I love how fast the checkout process is!,
user_0411,2025-10-22 17:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0158,13/8/2025 11:0,twitter,"Still waiting for my refund, very frustrating.",1
user_0267,2025-05-21 19:00:00,app_review,"Email offers are great, I found a nice deal.",
user_0173,2025-10-17 21:00:00,app_review,"My issue was solved quickly, thank you.",
user_0203,2025-05-29 06:00:00,twitter,"Still waiting for my refund, very frustrating.",
user_0118,2025-06-23 02:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",3
user_0488,2025-07-15 02:00:00,app_review,"Still waiting for my refund, very frustrating.",3
user_0083,2025-06-14 17:00:00,chatbot,The app keeps crashing when I try to pay. ğŸ˜¡,
user_0279,2025-05-29 00:00:00,chatbot,"Still waiting for my refund, very frustrating.",
user_0204,2025-08-08 01:00:00,chatbot,I love how fast the checkout process is!,
user_0100,2025-05-26 00:00:00,app_review,Customer service was rude and unhelpful.,
user_0303,2025-05-18 19:00:00,app_review,I love how fast the checkout process is!,5
user_0181,2025-05-04 20:00:00,email_feedback,I love how fast the checkout process is!,4
user_0203,6/5/2025 20:0,email_feedback,Socail media posts were engaging!,
user_0006,2025-10-28 01:00:00,chatbot,"Still waiting for my refund, very frustrating.",1
user_0382,2025-07-01 02:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",4
user_0445,2025-05-29 17:00:00,twitter,"Still waiting for my refund, very frustrating.",
user_0356,2025-05-17 14:00:00,chatbot,"Still waiting for my refund, very frustrating.",5
user_0404,2025-10-14 10:00:00,email_feedback,"Still waiting for my refund, very frustrating.",5
user_0332,2025-06-26 15:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",2
user_0009,2025-08-11 01:00:00,chatbot,Socail media posts were engaging!,
user_0079,2025-05-28 04:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",5
user_0463,2025-10-23 14:00:00,chatbot,"Ad was misleading, the discount didnâ€™t apply.",2
user_0212,2025-06-02 10:00:00,chatbot,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",3
user_0424,2025-10-13 09:00:00,email_feedback,I love how fast the checkout process is!,4
user_0100,2025-07-08 23:00:00,app_review,"Ad was misleading, the discount didnâ€™t apply.",4
user_0216,2025-08-16 07:00:00,email_feedback,"Ad was misleading, the discount didnâ€™t apply.",3
user_0262,2025-09-09 21:00:00,chatbot,Customer service was rude and unhelpful.,2
user_0154,2025-09-23 13:00:00,twitter,"Great UX overall, Iâ€™ll recommend to friends! ğŸ‘",4
,2025-07-02 13:00:00,chatbot,I love how fast the checkout process is!,2
